Dump,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,AverageTime
ethernet/main_ethernet_no_tls,0.099607945,0.108832400,0.095947603,0.097373218,0.096557671,0.098129812,0.096170974,0.098182786,0.115835966,0.109813969,0.101645234
ethernet/main_ethernet_quic,0.072297193,0.074826607,0.083103333,0.074948651,0.088769651,0.077428142,0.078287718,0.076918729,0.090114084,0.078864227,0.079555833
ethernet/main_ethernet_tls,0.201042304,0.215681501,0.231589179,0.192925335,0.199026889,0.235352099,0.202560096,0.217894189,0.190478618,0.233502636,0.212005285
ethernet/mult_ethernet_no_tls,0.364156705,0.289219092,0.350478713,0.447554177,0.373782703,0.335663077,0.363652066,0.302853780,0.302384266,0.320218631,0.344996321
ethernet/mult_ethernet_quic,0.137039179,0.150665481,0.160724525,0.143565507,0.158681355,0.168702877,0.162368727,0.139196359,0.142269496,0.138020214,0.150123372
ethernet/mult_ethernet_tls,0.548137592,0.533019557,0.490399586,0.570881256,0.538932250,0.562669576,0.590670983,0.437170328,0.524160627,0.519917433,0.531595919
wifi/main_wifi_no_tls_10%_10ms,1.215067588,0.445106798,0.440665534,0.433967314,0.237022912,3.303882409,0.460968970,2.523385625,0.449069403,0.452632878,0.996176943
wifi/main_wifi_no_tls_10%_1ms,0.127292965,0.326955343,0.111330740,0.103523354,0.725220267,1.135040538,0.134653313,1.127493481,0.317833379,0.538377609,0.464772099
wifi/main_wifi_no_tls_10%_5ms,0.390514694,1.354598912,0.586129026,3.034343057,0.141028824,0.149002961,0.140892982,0.150731888,0.353930283,1.025101491,0.732627412
wifi/main_wifi_no_tls_1%_10ms,0.212994907,0.203389165,0.206477878,0.214565178,0.195287947,0.210074249,0.232740401,0.204178482,0.202853383,0.206682131,0.208924372
wifi/main_wifi_no_tls_1%_1ms,0.143791200,0.109276861,0.108803497,0.117906676,0.111749489,0.314542958,0.102528310,0.142510998,0.101553805,0.115495160,0.136815895
wifi/main_wifi_no_tls_1%_5ms,0.140358000,0.136545519,0.140415615,0.596751261,0.139462736,0.141995805,0.141534810,0.142707635,0.138168470,0.162828235,0.188076809
wifi/main_wifi_no_tls_5%_10ms,0.196128451,0.425436038,0.199752761,0.194445071,0.199898438,0.207549761,0.230144996,0.210092408,0.220014076,0.210154455,0.229361645
wifi/main_wifi_no_tls_5%_1ms,0.309258530,0.311356379,0.102279008,0.109536443,0.102089878,0.311958563,1.921393597,0.102921745,0.113918515,0.315373857,0.370008652
wifi/main_wifi_no_tls_5%_5ms,0.139773260,0.150606645,1.151839985,0.394137940,0.364368296,0.154729968,0.166551357,1.136910647,0.168765028,0.155142154,0.398282528
wifi/main_wifi_quic_10%_10ms,0.160034847,1.362508328,0.184838360,0.157890696,0.163245929,0.166520561,0.157303775,0.144482123,1.077271416,0.179351618,0.375344765
wifi/main_wifi_quic_10%_1ms,2.154298870,2.188602469,1.093021865,0.080684677,0.083239164,1.290447285,0.104892666,0.102084972,0.154209308,0.102535085,0.735401636
wifi/main_wifi_quic_10%_5ms,0.117188403,1.240375772,0.108671589,0.106710474,0.232964986,1.164324818,1.158956741,0.149483732,0.131807416,3.105701188,0.751618512
wifi/main_wifi_quic_1%_10ms,0.179645290,0.143657769,0.137354194,0.167090582,0.169688322,0.150669906,0.167727567,0.161189180,0.147967752,0.140817290,0.156580785
wifi/main_wifi_quic_1%_1ms,0.080539326,0.082991020,0.083369269,0.084778564,0.102158604,0.080838804,0.081895666,0.082721394,0.082407544,0.080999670,0.084269986
wifi/main_wifi_quic_1%_5ms,0.105117166,0.117390685,0.139501425,0.103477704,0.109453112,0.103959943,0.104791653,0.107783693,0.105177307,0.115076192,0.111172888
wifi/main_wifi_quic_5%_10ms,0.139612748,0.140961236,0.161968214,0.163361745,0.322563759,0.200699965,0.197486930,0.142608820,0.169884124,1.099739102,0.273888664
wifi/main_wifi_quic_5%_1ms,0.080971878,0.151291310,0.106319597,0.083931014,0.086623321,0.082235292,2.436784971,0.085598810,0.078534417,0.080363676,0.327265429
wifi/main_wifi_quic_5%_5ms,0.106079156,0.104011988,0.106171111,0.108531793,0.108204437,0.158969635,0.106760386,1.125461478,2.167095450,2.110520189,0.620180562
wifi/main_wifi_tls_10%_10ms,0.666416366,0.852296982,0.620763018,0.400845830,0.821325193,0.617445969,0.594480374,0.722630704,1.497106989,0.648792882,0.744210431
wifi/main_wifi_tls_10%_1ms,0.254003959,0.628981236,0.598109025,0.227563574,0.822938132,0.721271947,0.613909700,0.448851124,0.268673874,0.672051512,0.525635408
wifi/main_wifi_tls_10%_5ms,0.786984684,0.268762715,0.270901452,1.233290994,2.302296661,0.976401343,0.700258064,0.512714546,0.494393855,0.606984069,0.815298838
wifi/main_wifi_tls_1%_10ms,0.303797426,0.330102596,0.556009127,0.312716364,0.337400409,0.312533701,0.336639755,0.334152526,0.394758039,0.353676883,0.357178683
wifi/main_wifi_tls_1%_1ms,0.207389334,0.219321608,0.246152282,0.689680771,0.450941347,0.222735116,0.236882043,0.197385925,0.222707367,0.697116325,0.339031212
wifi/main_wifi_tls_1%_5ms,0.321509643,0.251236968,0.263810910,0.275824573,0.432295659,0.282924334,0.250817177,0.502803354,0.499587010,0.251165711,0.333197534
wifi/main_wifi_tls_5%_10ms,0.322959710,0.727309970,0.496633412,0.329656097,0.556457431,0.793130033,0.350864946,0.391172584,1.510394536,0.695312247,0.617389097
wifi/main_wifi_tls_5%_1ms,0.450637611,0.212071248,0.676987829,0.232814356,0.234573447,0.783486833,0.203432204,0.199762136,0.469829992,1.468187716,0.493178337
wifi/main_wifi_tls_5%_5ms,0.271933068,0.264219592,0.329935946,0.715009768,0.290041933,0.269656463,0.505443009,0.506452246,0.520074249,0.537137332,0.420990361
wifi/mult_wifi_no_tls_10%_10ms,2.438483365,2.768893540,2.301845972,4.959738887,5.326505110,2.772494556,2.708020524,3.146045963,1.539167489,4.974586843,3.293578225
wifi/mult_wifi_no_tls_10%_1ms,1.444262967,2.796009176,1.974235342,1.430643895,2.739532935,1.608281503,1.657144395,1.775762188,1.826298240,3.200636477,2.045280712
